sentence1;sentence2;label
В чем разница между теоретическим анализом и концептуальным анализом?;В чем различие между концепциальным анализом и теоретическим анализом?;1
Что лучше, быть мусульманином в Индии или мусульманином в США? Почему?;Что лучше, быть мусульманином в США или мусульманином в Индии? Почему?;1
Мне 17 лет. Могу ли я получить водительское удостоверение ученика? Если да, то как я могу подать заявку на его получение?;Мне 17 лет. Могу ли я получить водительское удостоверение ученика? Если да, то как я могу подать заявку на его получение?;1
Какую роль в жизни Иисуса Христа сыграла Мария Магдалина?;В чем заключалась роль Марии Магдалины в жизни Иисуса Христа?;1
Если вы не сопереживаете чьим-то эмоциям, значит ли это, что вы не чувствуете?;Если не чувствуешь чьих-то эмоций, значит ли это, что не сопереживаешь?;0
Что лучше: i5 4Гб и 12 Гб памяти или i5 6Гб и 8 Гб памяти?;Что лучше: i5 6th gen и 12 ГБ памяти или i5 4th gen и 8 ГБ памяти?;0
В чем разница между черными дырами и белыми дырами?;В чем же разница между белыми и черными дырами?;1
Почему Хиллари Клинтон считает, что обвинения Дональда Трампа в домогательствах к женщинам плохо отражаются на Билле Клинтоне?;Почему Дональд Трамп считает, что предполагаемое изнасилование женщин Биллом Клинтоном отрицательно отразилось на Хиллари Клинтон?;0
В чем главное отличие пассивного радара наземного базирования от пассивного радара воздушного базирования?;Какое основное отличие от воздушного радара наземного базирования от пассивного радара?;1
В чем разница между мусульманским государством и исламским государством?;Какая разница между исламским государством и мусульманским государством?;1
Каков самый дешевый способ добраться из Нью-Йорка в Лас-Вегас?;Каков самый дешевый способ добраться из Лас-Вегаса в Нью-Йорк?;0
Есть ли разница между тем, что он ушел до моего приезда, и тем, что он ушел до моего приезда?;Есть ли разница между тем, что он ушел до моего приезда, и тем, что он ушел до моего приезда?;1
В чем же разница между налогооблагаемым доходом и валовым доходом?;В чем разница между брутто-доходом и налогооблагаемым доходом?;1
Почему люди говорят, что Обама - хороший президент? И почему другие говорят, что Обама - плохой президент?;Почему же люди говорят, что Обама плохой президент? И почему другие говорят, что Обама хороший президент?;1
Является ли ядерная энергетика возобновляемой энергетикой?;Является ли ядерная энергетика возобновляемой энергетикой?;1
Когда Иисус говорил с Понтием Пилатом, на каком языке он говорил: греческом, арабском или латинском? Может ли Пилат говорить на арабском или греческом языке?;Когда Пилат говорил с Понтием Пилатом, на каком языке он говорил - греческом, арамейском или латинском? Мог ли Иисус говорить на арамейском или греческом?;0
Почему мужчина носит свои часы на правой руке, в то время как женщина носит их на левой?;Почему мужчина носит свои часы на левой руке, в то время как женщина носит их на правой?;0
Почему мужчина, которого ты любишь, ненавидит тебя и хочет, чтобы ты ушел от него?;Почему любимый мужчина бросит тебя и захочет, чтобы ты его ненавидела?;0
Что такое гидродинамический граничный слой? Чем он отличается от термодинамического граничного слоя?;Что такое термодинамический приграничный слой? Чем он отличается от гидродинамического приграничного слоя?;0
Каковы требования, необходимые для того, чтобы стать пилотом военно-воздушных сил в Военно-морском флоте, и как это соотносится с военно-морскими силами России и США?;Каковы требования, необходимые для того, чтобы стать пилотом военно-воздушных сил в ВМС США, и как это соотносится с Военно-морским флотом России?;0
В чем разница между стоматологом-специалистом и стоматологом-специалистом общего профиля?;В чём отличие между стоматологом общего профиля и стоматологом специалиста?;1
Можно ли заменить гранулированный сахар на сахарную пудру?;Можно ли заменить сахарную пудру на гранулированный сахар?;0
Могла ли британская империя стать такой же могущественной, как и голландская, и если да, то как?;Могла ли голландская империя стать такой же могущественной, как и британская, и если да, то как?;0
В чем разница между электрическими устройствами и электронными приборами?;В чем же разница между электронными устройствами и электрическими приборами?;1
В чем же разница между Республиканской и Демократической партиями?;В чем же разница между Демократической и Республиканской партиями?;1
У меня есть коммерческое транспортное средство. Могу ли я его использовать в личных целях?;У меня есть личное транспортное средство. Могу ли я его использовать в коммерческих целях?;0
Можете ли Вы здесь выразить свое мнение по поводу палестино-израильского конфликта?;Вы можете высказать свое мнение по палестино-израильскому конфликту здесь?;1
В чем разница между тем, как мы воспринимаем себя и как нас видят другие?;В чем разница между тем, как мы воспринимаем себя и как нас видят другие?;1
Что если бы Барак Обама был президентом России, а Владимир Путин был бы президентом США?;Что если бы Владимир Путин был президентом США, а Барак Обама президентом России?;1
Почему 2000-е годы называют не 20-ым веком, а 21-м веком?;Почему годы 2000-х называются 20-м веком вместо 21-го века?;0
Почему мне следует переехать в Сан-Диего, если я живу в Санта-Монике?;Почему мне следует переехать в Санта-Монику, если я живу в Сан-Диего?;0
Если бы у тебя был шанс стать кем-то еще, кем бы ты был и почему?;Если у тебя был бы шанс стать кем-то еще кем бы ты стал и почему?;1
Очищенная вода - это то же самое, что и дистиллированная вода?;Является ли дистиллированная вода той же, что и очищенная вода?;1
В чем разница между линейными интегралами, поверхностными интегралами, интегралами объема, простыми интегралами, двойными интегралами, тройными интегралами и многочисленными интегралами?;В чем разница между линейными интегралами, интегралами поверхности, интегралами объема, несколькими интегралами, тройными интегралами, двойными интегралами и простыми интегралами?;0
В чем разница между электронным устройством и электрическим прибором?;В чем разница между электрическим устройством и электронным устройством?;1
Австралия: Как проехать из Сиднея в Мельбурн или Сидней в Брисбен?;Австралия: Каково проехать из Сиднея в Мельбурн или из Брисбена в Сидней?;0
Что нужно сделать Хиллари Клинтон, чтобы победить Берни Сандерса на праймериз демократов?;Что нужно сделать Берни Сандерсу для поражения Хиллари Клинтон на праймериз демократов?;0
Разве мужчины с длинными волосами менее привлекательны, чем мужчины с короткими волосами?;Разве мужчины с короткими волосами менее привлекательны, чем мужчины с длинными волосами?;0
В чем разница между эпидермальными клетками и дендритными?;В чем различие между дендритными клетками и эпидермальными?;1
Чем различаются обезжиренное молоко и пастеризованное молоко?;Чем пастеризованное и обезжиренное молоко отличаются?;1
Какая китайская компания-производитель смартфонов самая лучшая и надежная: Xiaomi, Huawei, Oneplus, Vivo, Gionee, Fenza, Oppo, ZTE, Alcatel, Coolpad или Lenovo?;Какая китайская компания-производитель смартфонов самая надежная и лучшая: Xiaomi, Lenovo, Oneplus, Vivo, Gionee, Fenza, Oppo, ZTE, Alcatel, Coolpad или Huawei?;1
Легче ли переехать в США, чем в Канаду?;Легче ли переехать в Канаду, чем в США?;0
Если у моего отца голубые глаза, а у моей мамы карие, то каковы шансы, что у меня зеленые глаза?;Если у моего отца голубые глаза, а у моей мамы зеленые, каковы шансы на наличие у меня карих глаз?;0
Что такое долгосрочный планировщик, краткосрочный планировщик и среднесрочный планировщик в ОС?;Что такое долгосрочный планировщик, среднесрочный планировщик и краткосрочный планировщик в ОС?;1
Каковы основные различия между 3 основными школами буддизма - Тхеравада, Махаяна и Ваджраяна? Какова краткая история их развития?;Каковы основные различия между 3 основными школами буддизма - Тхеравада, Махаяна и Ваджраяна? Какова краткая история их развития?;1
Почему все еще продолжается палестино-израильский конфликт?;Почему все еще продолжается израильско-палестинский конфликт?;1
У меня есть старая учетная запись Google, которую я не проверяю. Как я могу восстановить ее, если у меня нет доступа к моей Gmail?;У меня есть старая учетная запись Google, которую я не могу восстановить. Как я могу ее проверить, если у меня нет доступа к Gmail?;0
В чем разница между центрифужным водяным насосом и погружным водяным насосом?;В чем разница между погружным водяным насосом и центрифужным водяным насосом?;1
У меня есть личное транспортное средство. Могу ли я использовать его в коммерческих целях.;У меня есть коммерческое транспортное средство. Могу ли я использовать его в личных целях.;0
Кто выиграет, Хиллари Клинтон или Дональд Трамп?;Кто выиграет, Дональд Трамп или Хилари Клинтон?;1
В чем разница между публичным (внешним) и частным (внутренним) IP-адресами? Чем они отличаются, когда речь заходит о начале сеанса?;В чем разница между публичным (внешним) и частным (внутренним) IP-адресами? Чем они отличаются, когда речь заходит о начале сеанса?;1
Что лучше, фильтрованная вода или кипяченая?;Что лучше, кипяченая вода или фильтрованная вода?;1
Является ли Хиллари Клинтон более заслуживающей доверия, чем Берни Сандерс?;Является ли Берни Сандерс более заслуживающим доверия, чем Хиллари Клинтон?;0
Как ты узнаешь себя, если тебе на самом деле что-то не нравится?;Как ты любишь, если на самом деле ты чего-то не знаешь?;0
В чем разница между рациональными, иррациональными и реальными числами, натуральными числами, целыми числами?;В чём разница между натуральными числами, целыми числами, рациональными, иррациональными и реальными числами?;1
В чем разница между избыточным весом и лишним весом?;В чем разница между избыточным весом и Обезе?;0
Можно ли высвободить электричество от тепла, вырабатываемого бытовыми приборами, такими как кондиционеры, холодильники и т.д.?;Можно ли вырабатывать электричество за счет теплового тепла, выделяемого бытовыми приборами, такими как кондиционеры, холодильники и т.д.?;0
Если Билл Клинтон победит на выборах президента США в 2016 году, то станет ли Хиллари Клинтон старейшей первой леди в истории США?;Если Хиллари Клинтон выиграет выборы в США в 2016 году, будет ли Билл Клинтон самым старым первым в истории президентом США?;0
В чем разница между китайскими и японскими женщинами?;В чем разница между японскими женщинами и китаянками?;1
Какая разница между базовой ставкой, базовой ставкой по кредитам и базовой ставкой по кредитам?;В чем разница между базовой ставкой, ставками по кредитам для первичного размещения и ставкой по кредитам для первичного размещения?;0
Являюсь ли я произраильским, если считаю, что Израиль должен существовать как еврейское государство (а не как государство) с равными правами и свободами как для палестинцев, так и для евреев?;Являюсь ли я произраильским, если я считаю, что Израиль должен существовать как государство (не еврейское) с равными правами и свободами как для палестинцев, так и для евреев?;0
Сможет ли Дональд Трамп переиграть Барака Обаму в 2020 году?;Сможет ли Барак Обама обыграть Дональда Трампа в 2020 году?;0
Делаем ли мы те вещи, о которых не сожалеем в жизни, или делаем то, что не можем пожалеть?;Сожалеем ли мы о вещах, которых не делаем в жизни, или сожалеем о том, чего не можем сделать?;0
Могут ли отрицательные числа быть рациональными числами? Если нет, то почему?;Могут ли отрицательные числа быть рациональными числами? Если нет, то почему?;1
Почему в зеленом болгарском перце больше витамина С по сравнению с красным болгарским перцем?;Почему в красном болгарском перце содержится больше витамина С по сравнению с зеленым болгарским перцем?;0
Что вы делаете, когда вы скучаете по кому-то, кого вы не получите?;Что вы делаете, когда вы скучаете по кому-то, кого вы не получите?;1
Каждый раз, когда я пытаюсь вступить в контакт со своими глазами, она на меня смотрит и отводит взгляд.;Каждый раз, когда я пытаюсь сделать глазной контакт, она смотрит на меня и расплывается.;0
В чем разница между чистой прибылью, валовой прибылью и операционной прибылью?;В чём же разница между валовой прибылью, чистой прибылью и операционной прибылью?;1
Является ли вода невозобновляемым ресурсом или возобновляемым ресурсом?;Является ли вода возобновляемым ресурсом или невозобновляемым ресурсом?;1
Если бы у вас действительно были ужасные трудности при общении с другими людьми и вы бы просто не могли нормально общаться с другими людьми, что бы вы сделали, чтобы заработать на жизнь?;Если бы у вас были действительно ужасные трудности с социализацией с другими людьми, а обычно вы просто не общались с другими людьми, что бы вы сделали, чтобы зарабатывать на жизнь?;1
Как человек, впервые приезжающий в Австралию, должен ли я провести 3 дня в Сиднее или 2 дня в Сиднее и 1 день в Мельбурне?;Должен ли я, находясь в первый раз в Мельбурне, провести 3 дня, или 2 дня в Сиднее и 1 день в городе Сидней?;0
Какие книги нужно изучать, чтобы подготовиться к школьному экзамену по физике?;Какие книги нужно изучать, чтобы подготовиться к экзаменам по физике в школе?;1
Что бы вы снова сделали, если бы могли прожить свою жизнь по-другому?;Что бы вы сделали по-другому, если бы смогли вновь прожить свою жизнь?;0
В чем разница между терминами коммерческий банкинг, розничный банкинг, корпоративный банкинг и частный банкинг, определенно?;В чем же состоит отличие между терминами Private banking, розничное банкинг, коммерческий банковский бизнес и корпоративный банкинг в конечном счете?;1
В чем разница между дистиллированной водой и чищенной водой?;В чем разница между очищенной водой и дисперсной водой?;0
Существует ли на самом деле разница между левыми и правыми отмазками?;Существует ли на самом деле разница между правыми и левыми отмочками?;0
В чем же разница между двусторонними отношениями и стратегическими отношениями?;В чем заключается разница между стратегическими отношениями и двусторонними отношениями?;1
В чем разница между светским, нерелигиозным, агностическим и атеистическим?;В чем разница между нерелигиозными, светскими, агностическими и атеистичными?;1
Недавно я слышал это и раньше, но мне никогда об этом не говорили.;Я ни разу раньше не слышал это, но недавно мне это рассказали.;0
Каковы требования, необходимые для того, чтобы стать пилотом военно-воздушных сил в Военно-морском флоте, и как это соотносится с ВМС США в Индии?;Какие требования, необходимое для того, чтобы стать навальным пилотом военно-воздушных сил в военно-морских силах США, и как это соотносится с ВМС Индии?;0
В чем разница между турбулентным потоком и неравномерным потоком жидкости?;В чем заключается отличие неравномерного течения от турбулентного течения жидкости?;0
Похож ли Дональд Трамп на Рональда Рейгана?;Рональд Рейган схож с Дональдом Трампом?;0
Является ли Россия демократическим, тоталитарным или авторитарным государством?;Является ли Россия демократическим, авторитарным или тотальным государством?;1
В чем отличия и сходства между социал-демократией и либеральной демократией?;В чем же отличия и сходства между либеральной демократией и социал-демократией?;1
Как отличить лихорадку, вызванную вирусной инфекцией, и бактериальную инфекцию?;Как отличить лихорадку, вызванную бактериальной инфекцией, и вирусную инфекцию?;0
В чем разница между научным доказательством и эмпирическим доказательством? Может ли логическое утверждение основываться только на логическом доказательстве без эмпирического доказательства?;В чем разница между логическим доказательством и эмпирическим доказательством? Может ли научное утверждение быть основано лишь на логическом доказательстве без эмпирического доказательства?;0
В чем разница между высокоскоростным дизелем и обычным дизелем?;В чем разница между дизельным двигателем нормальной скорости и высокоскоростным дизелем?;0
Как соотносятся фискальная политика и денежно-кредитная политика?;Как соотносятся политика мониторинга и фискальная политика?;0
Почему зарплаты рабочих китайских фабрик выше, чем в Мексике и Малайзии, в то время как ВВП Китая на душу населения меньше, чем у Мексики и Малайзии?;Почему зарплаты китайских заводских рабочих ниже чем в Мексике и Малайзии, в то время как ВВП Китая на душу населения выше, чем в Мексике и Малайзии?;0
Может ли мальчик-мусульманин жениться на девочке-католичке?;Может ли католический мальчик жениться на мусульманской девочке?;0
У моей матери карие глаза, а у моего отца голубые, и все же у меня зеленые глаза. Как это возможно?;Моя мама с голубыми глазами, а у отца с зелеными, но у меня есть карие глаза. Как это возможно?;0
Существуют ли какие-либо полноценные стипендии по программам бакалавриата для иностранных студентов в США, Великобритании или Канаде?;Имеются ли международные стипендии для полных студентов старших курсов вузов в США, Великобритании или Канаде?;0
Если Иисус - это Бог, то кто же тогда Бог?;Если Бог и есть Бог, то кто же Иисус?;0
Почему в дневное время я всегда сплю, а в ночное - бодрствую?;Почему я всегда беспамятен в дневное время, а ночным сонлив?;0
Может ли женщина-немусульманка выйти замуж за мужчину-мусульманина?;Может ли мусульманская женщина выйти замуж за немусульманского мужчину?;0
Каково значение искусства в человеческой жизни? Какова взаимосвязь между искусством и философией?;Каково значение искусства в человеческой жизни? Какова взаимосвязь между искусством и философией?;1
А что же имеют в виду люди, когда говорят, что Европа - это не Швейцария?;Что имеют в виду люди, говоря, что Швейцария не Европа?;0
В чем разница между электрическим полем и магнитным полем?;В чем разница между магнитным полем и электрическим полем?;1
Что такое плохое поведение, а что такое хорошее поведение?;Что такое хорошее поведение, а что такое плохое поведение?;1
Почему говорят, что самолеты с высоким крылом более стабильны по сравнению с самолетами с низкими крыльями?;Почему говорят, что самолеты с низкими крыльями более стабильны по сравнению с самолетами с высокими крыльями?;0
В чем принципиальная разница между бактериальной ДНК и ДНК человека?;В чем принципиальная разница между ДНК человека и бактериальной ДНК?;1
Почему Стив Джобс был намного богаче, чем Стив Возняк, даже несмотря на то, что они совместно основали Apple?;Почему Стив Возняк оказался намного богаче Стива Джобса, пусть даже они основали Apple вместе?;0
В чем разница между великими актерами и успешными актерами?;В чем разница между успешными актерами и великими актерами?;1
Каковы требования, необходимые для того, чтобы стать пилотом военно-воздушных сил в Военно-морском флоте, и как это соотносится с ВМС США в Италии?;Каковы требования, необходимые для того, чтобы стать пилотом военно-воздушных сил в ВМС США, и как это соотносится с ВМС Италии?;0
Каковы плюсы и минусы переезда из Сан-Диего, Калифорния, в Сиэтл, штат Вашингтон?;Каковы плюсы и минусы переезда из Сиэтла, штат Вашингтон, в Сан-Диего, Калифорния?;0
Кандидат отбирается для собеседования на три должности. На первую должность - 6 кандидатов, на вторую - 9 кандидатов и на третью - 5 кандидатов. Каковы шансы на то, что он получит хотя бы одну должность?;Кандидат отбирается для собеседования на три должности. На первую должность - 6 кандидатов, на третью - 9 кандидатов и на вторую - 5 кандидатов. Каковы его шансы получить хотя бы одну должность?;0
Есть ли в Ванкувере погода лучше, чем в Сиэтле?;У Сиэтла погода лучше, чем в Ванкувере?;0
В чем же разница между демократом и социалистом?;Какова разница между социалистом и демократом?;1
В чем отличие PHP от J2EE? Какой из них лучше всего подходит для изучения веб-дизайна?;В чём разница между PHP и J2EE? Какой из них лучше всего подходит для веб-обучения?;0
Как Хиллари Клинтон сможет одержать победу над сторонниками Берни Сандерса?;Как Берни Сандерс может одержать победу над сторонниками Хиллари Клинтон?;0
Как я могу скачать видео с YouTube, а затем загрузить его на свой канал, не беспокоясь об авторских правах?;Как я могу загрузить видео с YouTube, а затем скачать его на свой канал, не беспокоясь об авторских правах?;1
В чем разница между процедурным программированием, структурным программированием, императивным программированием и функциональным программированием?;В чем разница между структурным программированием, процедурным программированием, императивным программированием и функциональным программированием?;1
Возможна ли поездка из Египта в Южную Африку по реке Нил?;Возможна ли поездка из Южной Африки в Египет по реке Нил?;0
Почему апельсиновый сок пастеризован? Опасно ли пить непастеризованный сок?;Почему непастеризованный сок пастеризуют? Опасно ли пить апельсиновый сок?;0
