;sentence1;sentence2;label
1928;Готовое смешивающее растение смешивает все ингредиенты, кроме воды, в то время как центральное смешивающее растение смешивает все ингредиенты, включая воду.;Центральное смесительное предприятие смешивает все ингредиенты, кроме воды, в то время как готовое смесительное предприятие смешивает все ингредиенты, включая воду.;0
2552;Лидия Йейманс родилась во время поездки из Мельбурна в Сидней у побережья Южной Австралии.;Лидия Йейманс родилась у берегов Южной Австралии во время путешествия из Сиднея в Мельбурн.;0
1402;Карри родился в 1935 году в Лонгбентоне, Northumberland, а умер в 1990 году в Мэнсфилде, Nottinghamshire, в возрасте 54 лет.;Карри родился в Лонгбентоне, Нортумберленд, в 1935 году и умер в Мэнсфилде, Ноттингхамшир в 1990 году в возрасте 54 лет.;1
65;Премьера пятого сезона состоялась 15 сентября 2013 года, а премьера шестого сезона состоялась 10 апреля 2014 года.;Премьера шестого сезона состоялась 15 сентября 2013 года, а пятого сезона состоялась 10 апреля 2014 года.;0
1453;Поезда следовали из Карачи в Дели и наоборот через Бахавалнагар.;Раньше поезда курсировали из Карачи в Дели и наоборот через Бахавалнагар.;1
1825;Field - второй по величине торговый центр в Дании и один из крупнейших в Скандинавии.;Field - второй по величине торговый центр в Дании и один из самых больших в Скандинавии.;1
1904;Экскавация участка началась в 2008 году, а работы по возведению гаража-стоянки начались в начале 2009 года.;Экскавация участка началась в 2008 году, а работы по паркингу начались в начале 2009 года.;0
3092;North Adams - деревушка в округе Хиллсдейл Адамского Тауншипа в американском штате Мичиган.;North Adams - деревня в тауншипе Адамс округа Хиллсдейл в американском штате Мичиган.;1
1250;Зимой погода может быть очень холодной, а весной, летом и ранней осенью теплые дни и прохладные ночи.;Зимой погода может быть очень холодной, а весной, летом и ранней осенью теплые дни и прохладные ночи.;1
792;Линдон женился в 1727 году на Мэри Карр, дочери Эдварда и Ханны (Стэнтон) Карр, и внучке губернатора Калеба Карр.;В 1727 году Мэри Карр вышла замуж за Калеба Карра, дочь Линдона (Стэнтон) Карр и внучку губернатора Эдварда и Ханны.;0
1416;В Южной Каролине закон применяется только к несовершеннолетним в возрасте до 16 лет, а в Делавере - для несовершеннолетних до 17 лет.;В Южной Каролине закон применяется только к несовершеннолетним младше 16 лет, а в Делавере - к несовершеннолетним младше 17 лет.;1
529;22 июня 2012 года указом президента России Владимира Путина Титова назначили уполномоченным при президенте России по защите прав предпринимателей.;22 июня 2012 Президент России Владимир Путин своим указом назначил Титова уполномоченным при президенте России по защите прав предпринимателей.;1
1124;Альберто Манчини выиграл у Андре Агасси в финале 6 -- 3, 4 -- 6, 2 -- 6, 7 -- 6, 6 -- 1.;Альберто Манчини выиграл в финале 6-3, 4-6, 2-6, 7-6, 6-1 у Андре Агасси.;1
102;Школа была взята под контроль в 1960-х годах Патриком Килроем, а в 1999 году управление колледжем взял на себя его сын Чарльз Kilroy's College.;Школу получил Чарльз Килрой в 1960-е годы. Его сын Патрик Килрой стал управлять Колледжем Килрой в 1999 году.;0
611;Также он играл за Green Bay Packers и был частью команды, выигравшей Super Bowl XLV над Pittsburgh Steelers.;Он также играл за Pittsburgh Steelers и был частью команды, выигравшей Super Bowl XLV на Green Bay Packers.;0
1976;Джанет Скотт родилась на Джеймсе Александре Хансоне, втором сыне Джеймса Трикетта Хансона (датчанина иммигранта) и Джима Марчбанка.;Джим Марчбанк родился Джеймсом Александером Хансоном, вторым сыном Джеймса Трикетта Хансона (датского иммигранта) и Джанет Скотт.;0
618;Украинские войска 33 раза открывали огонь по пророссийским позициям, в результате чего погиб один гражданский житель, двое полицейских и ранены трое украинских военнослужащих.;В 33 случаях украинские войска открывали огонь по пророссийским позициям, убив одно гражданское лицо и двух полицейских, и ранив трех украинских военных.;1
896;Анри Доблер родился в 1863 году в Швейцарии, его родители продавали шелк и текстиль в Милле.;Анри Доблер родился в 1863 году в Швейцарии. Его родители продавали шелк и текстиль в Марселе.;0
2212;Шесть десятилетий спустя возрождение Вест-Энда в постановке Клиффорда Уильямса под руководством импресарио Дугласа Урбански открылось в театре Хеймаркет в 1984 году, и его перенесли на Бродвей.;Через шесть десятилетий в 1984 году возрожденная постановка Уэст-Энда в постановке Клиффорда Уильямса и режиссера Импресарио Дугласа Урбански открылась в театре Хеймаркета и перенесена на Бродвей.;1
2763;Shine, второй альбом группы, был записан в промежутке между двумя общими датами и вышел в 2009 году.;Shine, второй альбом группы был записан между двумя общими датами и выпущен в 2009.;1
2281;Он родился 23 октября 1806 года в Нью-Йорке, Восточный Бродвей.;Он родился 23 октября 1806 года на Восточном Бродвее в Нью-Йорке.;1
755;Анри Доблер родился в Марселе в 1863 году, а его родители занимались продажей шелка и текстиля в Швейцарии.;Анри Доблер родился в 1863 году в Швейцарии, его родители продавали шелк и текстиль в Галле.;0
2671;В 1922 году Иннискилнингз переехали из Индии в Ирак и вернулись в Шаклиф, Англия, в 1925 году.;Иннискиллинги переехали из Индии в Шиклиф в Англии в 1922 году, а затем вернулись в Ирак в 1925.;0
3111;Этот альбом спродюсировал экс-партнер Эллиота Смита Тони Лэш, записал Дейв Эринга и достиг 33-й позиции в британском чарте.;Альбом был спродюсирован бывшим партнером Эллиотта Смита Тони Лэшем, микширован Дэйвом Эрингой и достиг 33 в Великобритании Albums Chart.;1
1753;Алла Петровна Цупер (род. 16 апреля 1979 г.) - белорусская (до 2000 г.) и украинская (с 2000 г.) летчица.;"Алла Петровна Цупер (;;; родилась 16 апреля 1979 года) - украинская (до 2000 года), белорусская (с 2000 года) аэролыжница.";0
1300;Таун Бернсайд граничит на северо-западе с округом Клирфилд, на севере с округом Клинтон, на востоке - с городком Куртин, а на юго-западе с городком Снежные Ботинки.;Поселок Снежной сопки граничит с городком Бернсайд на северо-востоке, графством Клирфилд на севере, городком Кертин на востоке и графством Клинтон на юго-востоке.;0
134;Эдвард Биддл был братом американского сенатора Николаса Биддла, племянником конгрессмена Чарльза Джона Биддла и дядей конгрессмена Ричарда Биддла.;Эдвард Бидл был братом американца Миссис Николаса Биддла, племянником конгрессмена Чарльза Джона Биддла и дядей конгрессмена Ричарда Биддла.;1
3680;Она переехала в Швейцарию, когда ей было пару месяцев, потом выросла во Франции, но в основном в Париже.;Она переехала в Швейцарию, когда ей было несколько месяцев, в основном во Францию, но выросла в Париже.;1
3052;Wildhorse Creek в графстве Ховард, Техас, является притоком Моргана Крика и плавает вблизи Wildhorse Mountain.;Wildhorse Creek в Wildhorse Mountain является притоком реки Морган Крик Он течет недалеко от округа Говард, Техас.;0
122;Пока Горди продолжали использовать в качестве фоновой певицы, Джон расторг ее контракт в 1962 году.;В то время как Горди продолжали использовать в качестве фоновой певицы, Джон инициировал ее контракт в 1962 году.;0
2523;После отъезда из Бельгии подписал контракт с Бристоль Сити на три года в Австралии, но был вынужден вернуться в Англию из-за проблем с рабочей визой.;"После отъезда из Бельгии он подписал контракт на три года с английским ""Бристоль Сити"", но из-за проблем с визой был вынужден возвратиться в Австралию.";0
2309;Компания продолжала расти и в 1994 году открыла дочерние предприятия в Бразилии, а в 1996 году - в Аргентине.;Компания продолжила развиваться в альянсе, добавив дочерние компании в Аргентине в 1994 г. и в Бразилии в 1996 г.;0
3080;Название в Tupi означает камень твердый, нечувствительный или камень покоя.;Название в Тупи означает твердый камень, нечувствительный камень или камень.;1
2238;Энди Роддик победил Джона Изнера, 6 -- 4, 7 -- 6;Энди Роддик победил Джона Изнера, 6 -- 4, 7 -- 6;1
2254;По состоянию на 2011 год в Абиджане насчитывалось 19 предлагаемых высотных зданий, ни одно из которых не строилось или не было завершено.;По состоянию на 2011 год в Абиджане насчитывалось 19 завершенных высотных зданий, ни одно из которых не строилось или не предлагалось.;0
2066;Сегодня - великий день для американо-индийских отношений.;Сегодня - великий день для индийско-американских отношений.;1
2555;Палудибактер - это грам-анаэробный, хемоорганотоксичный и неподвижный, полосатый негативный род из семейства Paludibacteraceae.;Палудибактер - это граммовый анаэробный, химиоорганотоксический и немоторизованный, полосатый негативный род из семейства палудибактериальных.;1
1985;К концу 40-х годов Springfield вырос вдвое и составил примерно 3 кв. мили при населении почти в 10000 человек.;К концу 1940-х годов Спрингфилд удвоился, достигнув приблизительно 3 квадратных миль, а население - примерно 10 тысяч.;1
3584;Этот климатический регион характеризуется значительными перепадами температур, от теплого до жаркого (зачастую теплого) лета и умеренными морозами.;Этот климатический регион характеризуется большими перепадами температур, от теплого до холодного (и часто жаркого) лета и мягкой жарой.;0
2196;Педриктаун - это небольшой муниципальный аэропорт, расположенный на аэродроме Спитфайр (Spitfire Aerodrome).;Аэродром Spitfire - это небольшой муниципальный аэропорт в Педриктауне.;0
2220;Маргот А. Тиен / Margot A. Thien (род. 29 декабря 1971 года в Сан-Диего, Калифорния) - олимпийский чемпион по синхронному плаванию и американский чемпион.;Маргот А. Тиен / Margot A. Thien (род. 29 декабря 1971 года в Сан-Диего, Калифорния) - олимпийский чемпион по синхронному плаванию и американский мастер спорта.;0
693;Этот вид был впервые официально описан в 1805 году английским ботаником Джеймсом Эдвардом Смитом в Анналах ботаники, которые были собраны в Порт-Джексоне.;Данный вид впервые официально был собран в 1805 году английским ботаником Джеймсом Эдвардом Смитом в Annals of Botany - это вид, описанный в Порт-Джексоне.;0
2054;Она была католичкой, а он был иудеем.;Она католиком, а он иудейкой был.;1
3349;Гора была названа в честь геолога Чарльза Лайелла, наследника Чарльза Дарвина, в 1863 году Чарльзом Гулдом.;Гора была названа Чарльзом Гулдом в 1863 году в честь геолога Чарльза Лайелла, сторонника Карла Дарвина.;0
3135;Начальный сегмент Фултон Мэлл как есть сегодня - это Фултон Стрит между Адамс-стрит и Флэттью-авеню.;Первый отрезок Fulton Mall в том виде, в каком он существует сегодня, - это Фултон-стрит между улицей Адамс и Флэтч-авеню.;0
249;Железнодорожный вокзал Stockport, Greater Manchester, обслуживает Брайтингтон в восточной части Брайнингтона, Англия.;Станция Бридингтон обслуживает Бринингтон в восточной части Стокпорта, Великий Манчестер в Англии.;0
3329;В 1979 году она сбежала в Западную Германию на борту самолета из Будапешта в Мюнхен по фальшивому западнонемецкому паспорту.;В 1979 году она сбежала в Западную Германию, прилетев по фальшивому западнонемецкому паспорту из Мюнхена в Будапешт.;0
1989;В 1828 году Снайдер женился на Йоманс из Олбани, с которой у него были две дочери и трое сыновей.;Летиция Снайдер вышла замуж за Йоманса из Олбани в 1828 году, с которым у него были две дочери и трое сыновей.;1
1347;Самым засушливым календарным годом с 1948 года стал 1965 год, а самым влажным - 1956 год.;Самым сырым календарным годом с 1948 года был 1965 год, и самым мокрым - 1956.;0
468;Эди пытается прийти на помощь Майку рано, но Сюзан неожиданно приехала раньше нее.;Сьюзен пытается попасть к Майку пораньше, чтобы помочь ему, но Эди неожиданно появилась перед ней.;0
3822;Мелисио Моралес (иногда Melisio Morales) (4 декабря 1838 - 12 мая 1908) - мексиканский соплеменник.;Мелисио Моралес (иногда Melisio Morales) (4 декабря 1838 -- 12 мая 1908) был мексиканским соотечественником.;1
1888;Вдоль побережья расположены почти две тысячи островов, около трех четвертей которых ненаселены.;Вдоль побережья расположено примерно 2 тысячи островов, почти три четверти которых безлюдные.;1
2510;Футбольная команда Стэнфордского университета 1921 года представляла Стэнфорд в футбольном сезоне 1921 года.;Футбольная команда Стэнфордского университета в 1921 году представляла Стэнфордский университет в Колледже - Футбол - Сезон 1921 года.;1
771;Кандидатов проверяют на знания теории права, экономического права, международного права, международного частного права и международного экономического права, а также на знание этики.;Кандитаты проверяются на знание экономической теории, международного экономического права, правового права, международного права и международного частного права, а также этики.;1
2482;В целом, Кельтская ассоциация смогла организовать три пан-кельтских съезда: в Дублине (1901), в Кэрнарфоне (1904) и в Эдинбурге (1907).;В общей сложности Кельтская ассоциация смогла организовать три пан-кельтских конгресса: в Эдинбурге (1901), Кернарфоне (в 1904) и Дублине (В 1907).;0
843;Болдвины жили в Вашингтоне, округ Колумбия Хелен Балдвин умерла в 1977 году, а Роберт Балдуин умер 14 марта 1998 года от болезни Лоу-Рига.;Бальдвины жили в Вашингтоне, округ Колумбия Хелен Балдвин умерла в 1977 году, а Роберт Балдуин умер 14 марта 1998 года от болезни Лоу-Рига.;0
3277;Последний альбом был записан с басистом Артуро Гарсия и барабанщицей Ниной Соуто.;Sketch был последним альбомом, записанным с басистом Артуро Гарсиа и барабанщицей Ниной Соуто.;1
1478;Строителями Уэймейт Север также были Уильям Уильям Кук и сын Святого Иакова, который построил церковь Святого Иоанна Крестителя в 1871 году.;Уильям Кук и сын Ваймате Норт, построившие церковь Св. Иоанна Крестителя в 1871 году, также были строителями Сент-Джеймсовской церкви.;0
